SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
S39WNA0KB01161,constant,54496,54496,0,279,78.0,91.0,122.0,149.0,174.0,1707848725,3085252575035010
S39WNA0KB01161,constant,109307,109307,0,190,80.0,95.0,137.0,165.0,201.0,1707848730,3085263629125440
S39WNA0KB01161,constant,164270,164270,0,311,82.0,99.0,145.0,181.0,221.0,1707848735,3085274706172815
S39WNA0KB01161,constant,219661,219661,0,457,87.0,105.0,155.0,200.0,245.0,1707848739,3085285770451680
S39WNA0KB01161,constant,273780,273780,0,550,90.0,115.0,167.0,218.0,263.0,1707848744,3085296840115086
S39WNA0KB01161,constant,329836,329836,0,711,96.0,131.0,186.0,240.0,297.0,1707848748,3085307936095296
S39WNA0KB01161,constant,384663,384663,0,919,115.0,186.0,294.0,467.0,550.0,1707848753,3085319039955594
S39WNA0KB01161,constant,439097,417261,59073,1151,4217.0,13839.0,inf,inf,inf,1707848758,3085330155178950
S39WNA0KB01161,constant,494114,417815,206279,1450,6616.0,inf,inf,inf,inf,1707848762,3085341379908573
S39WNA0KB01161,constant,548893,417516,355358,1515,7426.0,inf,inf,inf,inf,1707848767,3085352589806922
S39WNA0KB01161,constant,603124,417212,503347,1841,7947.0,inf,inf,inf,inf,1707848772,3085363806429900
S39WNA0KB01161,constant,657317,417316,649700,1954,8584.0,inf,inf,inf,inf,1707848776,3085375036612422
S39WNA0KB01161,constant,711453,416964,797941,2195,8718.0,inf,inf,inf,inf,1707848781,3085386273278472
S39WNA0KB01161,constant,768161,417535,948508,2390,9136.0,inf,inf,inf,inf,1707848786,3085397534629146
S39WNA0KB01161,constant,821702,417531,1093629,2546,9872.0,inf,inf,inf,inf,1707848790,3085408791524817
S39WNA0KB01161,constant,878414,417898,1244721,2799,inf,inf,inf,inf,inf,1707848795,3085420063831725
S39WNA0KB01161,constant,931665,417714,1389803,2966,inf,inf,inf,inf,inf,1707848800,3085431339794391
S39WNA0KB01161,constant,987388,417628,1540923,3182,inf,inf,inf,inf,inf,1707848804,3085442627576241
S39WNA0KB01161,constant,1042276,417674,1688555,3183,inf,inf,inf,inf,inf,1707848809,3085453929364596
S39WNA0KB01161,constant,1095741,417528,1834770,3466,inf,inf,inf,inf,inf,1707848814,3085465233838809
