SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
S39WNA0KB01161,constant,7840,7840,0,19,76.0,90.0,93.0,102.0,126.0,1768160884,4088151199923852
S39WNA0KB01161,constant,15816,15816,0,33,76.0,90.0,98.0,1847.0,2624.0,1768160887,4088157478379442
S39WNA0KB01161,constant,23504,23504,0,61,76.0,90.0,115.0,2306.0,3053.0,1768160890,4088163709200297
S39WNA0KB01161,constant,31572,31572,0,73,77.0,90.0,123.0,2213.0,3041.0,1768160892,4088169953451591
S39WNA0KB01161,constant,39381,39381,0,86,77.0,91.0,137.0,2295.0,2880.0,1768160895,4088176186800396
S39WNA0KB01161,constant,47525,47525,0,128,77.0,91.0,145.0,2412.0,3572.0,1768160897,4088182424484594
S39WNA0KB01161,constant,55140,55140,0,172,77.0,91.0,371.0,2608.0,3366.0,1768160900,4088188668883863
S39WNA0KB01161,constant,63369,63369,0,205,78.0,92.0,807.0,2848.0,4144.0,1768160903,4088194915812375
S39WNA0KB01161,constant,70978,70978,0,208,78.0,92.0,941.0,2649.0,3586.0,1768160905,4088201157256278
S39WNA0KB01161,constant,78968,78968,0,236,78.0,93.0,856.0,2641.0,3659.0,1768160908,4088207391378183
S39WNA0KB01161,constant,87464,87464,0,276,79.0,93.0,962.0,2645.0,3624.0,1768160910,4088213645377905
S39WNA0KB01161,constant,95220,95220,0,332,79.0,94.0,1231.0,2753.0,3491.0,1768160913,4088219888492193
S39WNA0KB01161,constant,102981,102981,0,329,79.0,95.0,1311.0,2771.0,3767.0,1768160916,4088226136040463
S39WNA0KB01161,constant,110547,110547,0,383,79.0,95.0,1270.0,2661.0,3623.0,1768160918,4088232373141314
S39WNA0KB01161,constant,118679,118679,0,330,80.0,96.0,1368.0,2800.0,3829.0,1768160921,4088238625535430
S39WNA0KB01161,constant,127240,127240,0,435,80.0,97.0,1445.0,2779.0,3691.0,1768160923,4088244869475330
S39WNA0KB01161,constant,134388,134388,0,441,81.0,98.0,1514.0,2726.0,3693.0,1768160926,4088251111639458
S39WNA0KB01161,constant,142971,142971,0,491,81.0,99.0,1623.0,2789.0,3827.0,1768160929,4088257355203545
S39WNA0KB01161,constant,150483,150483,0,485,81.0,100.0,1664.0,2784.0,3715.0,1768160931,4088263604620389
S39WNA0KB01161,constant,158533,158533,0,511,82.0,101.0,1548.0,2679.0,3620.0,1768160934,4088269857844041
S39WNA0KB01161,constant,166185,166185,0,568,83.0,105.0,1376.0,4576.0,7066.0,1768160936,4088276104889166
S39WNA0KB01161,constant,173676,173676,0,600,83.0,106.0,2011.0,4126.0,7289.0,1768160939,4088282357613585
S39WNA0KB01161,constant,182660,182660,0,646,83.0,107.0,2061.0,3249.0,4207.0,1768160942,4088288611988322
S39WNA0KB01161,constant,190250,190250,0,661,84.0,109.0,2085.0,3357.0,4229.0,1768160944,4088294858262237
S39WNA0KB01161,constant,197826,197826,0,673,85.0,112.0,2122.0,3398.0,4243.0,1768160947,4088301111459666
S39WNA0KB01161,constant,205841,205841,0,727,85.0,113.0,2151.0,3410.0,4255.0,1768160950,4088307359738640
S39WNA0KB01161,constant,214076,214076,0,776,86.0,118.0,2207.0,3535.0,4282.0,1768160952,4088313623412333
S39WNA0KB01161,constant,223036,223036,0,767,86.0,120.0,2223.0,3579.0,4360.0,1768160955,4088319878283993
S39WNA0KB01161,constant,229184,229184,0,858,87.0,124.0,2206.0,3445.0,4230.0,1768160957,4088326127604639
S39WNA0KB01161,constant,236565,236565,0,790,88.0,128.0,2259.0,3620.0,4301.0,1768160960,4088332380674823
S39WNA0KB01161,constant,246834,246834,0,933,89.0,145.0,2345.0,3832.0,4505.0,1768160963,4088338647772053
S39WNA0KB01161,constant,253656,253656,0,970,89.0,143.0,2318.0,3692.0,4378.0,1768160965,4088344903999215
S39WNA0KB01161,constant,260413,260413,0,960,90.0,158.0,2364.0,3833.0,4472.0,1768160968,4088351155422075
S39WNA0KB01161,constant,268962,268962,0,926,91.0,203.0,2382.0,3772.0,4402.0,1768160970,4088357417155014
S39WNA0KB01161,constant,277993,277993,0,963,92.0,232.0,2370.0,3685.0,4353.0,1768160973,4088363678066682
S39WNA0KB01161,constant,285868,285868,0,1065,93.0,314.0,2396.0,3741.0,4459.0,1768160976,4088369940722391
S39WNA0KB01161,constant,294767,294767,0,1077,94.0,454.0,2494.0,3881.0,4456.0,1768160978,4088376203894277
S39WNA0KB01161,constant,300813,300813,0,1116,95.0,479.0,2479.0,3838.0,4527.0,1768160981,4088382467128845
S39WNA0KB01161,constant,308939,308939,0,1164,97.0,535.0,2543.0,3925.0,4500.0,1768160983,4088388731493618
S39WNA0KB01161,constant,319070,319070,0,1159,100.0,705.0,2610.0,3988.0,4639.0,1768160986,4088395002675840
S39WNA0KB01161,constant,326956,326956,0,1185,102.0,781.0,2675.0,4079.0,4914.0,1768160989,4088401273411293
