SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
S39WNA0KC02074,constant,19704,19704,0,23,75.0,89.0,102.0,2119.0,3252.0,1712866511,3588249731752152
S39WNA0KC02074,constant,39665,39665,0,66,76.0,89.0,131.0,2321.0,3491.0,1712866515,3588258387641808
S39WNA0KC02074,constant,59356,59356,0,98,76.0,90.0,383.0,2582.0,3615.0,1712866518,3588267005201964
S39WNA0KC02074,constant,79236,79236,0,125,76.0,91.0,893.0,2619.0,3685.0,1712866522,3588275685392892
S39WNA0KC02074,constant,99350,99350,0,180,77.0,92.0,1140.0,2751.0,3615.0,1712866526,3588284322883128
S39WNA0KC02074,constant,119569,119569,0,228,77.0,93.0,1480.0,2805.0,3838.0,1712866529,3588292981329812
S39WNA0KC02074,constant,138602,138602,0,255,78.0,96.0,1672.0,2893.0,3922.0,1712866533,3588301628302324
S39WNA0KC02074,constant,158962,158962,0,318,78.0,98.0,1718.0,2851.0,3834.0,1712866537,3588310297351308
S39WNA0KC02074,constant,179199,179199,0,361,79.0,101.0,1774.0,2943.0,3882.0,1712866540,3588318961402876
S39WNA0KC02074,constant,199486,199486,0,434,80.0,110.0,1851.0,3871.0,6519.0,1712866544,3588327634196456
S39WNA0KC02074,constant,218397,218397,0,455,81.0,119.0,2224.0,3851.0,5857.0,1712866547,3588336300714108
S39WNA0KC02074,constant,239068,239068,0,591,83.0,130.0,2342.0,3773.0,4542.0,1712866551,3588344975651220
S39WNA0KC02074,constant,258104,258104,0,595,85.0,151.0,2409.0,3914.0,4645.0,1712866555,3588353659228612
S39WNA0KC02074,constant,278733,278733,0,634,86.0,242.0,2436.0,3891.0,4573.0,1712866558,3588362349726600
S39WNA0KC02074,constant,298549,298549,0,711,88.0,444.0,2509.0,4032.0,4688.0,1712866562,3588371032696664
S39WNA0KC02074,constant,318771,318771,0,839,89.0,546.0,2526.0,3987.0,4628.0,1712866565,3588379729728428
S39WNA0KC02074,constant,337696,337696,0,849,90.0,660.0,2546.0,3996.0,4773.0,1712866569,3588388436094644
S39WNA0KC02074,constant,357995,357995,0,1015,93.0,903.0,2698.0,4087.0,4873.0,1712866573,3588397128230256
S39WNA0KC02074,constant,377291,377291,0,3134,95.0,927.0,2765.0,6243.0,8562.0,1712866576,3588405852223276
S39WNA0KC02074,constant,397044,397044,0,2695,105.0,1762.0,4224.0,8438.0,9956.0,1712866580,3588414557233216
