SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
S39WNA0KC02087,constant,54685,54685,0,491,75.0,88.0,119.0,147.0,173.0,1707848483,3083448666854094
S39WNA0KC02087,constant,109465,109465,0,172,76.0,91.0,133.0,160.0,199.0,1707848487,3083459702865159
S39WNA0KC02087,constant,164332,164332,0,265,77.0,94.0,141.0,179.0,217.0,1707848492,3083470745141637
S39WNA0KC02087,constant,219219,219219,0,392,80.0,99.0,149.0,194.0,234.0,1707848497,3083481804534318
S39WNA0KC02087,constant,273682,273682,0,603,83.0,106.0,158.0,208.0,255.0,1707848501,3083492871205125
S39WNA0KC02087,constant,329614,329614,0,690,85.0,114.0,169.0,223.0,277.0,1707848506,3083503956556713
S39WNA0KC02087,constant,383869,383869,0,801,86.0,123.0,182.0,241.0,296.0,1707848511,3083515033149807
S39WNA0KC02087,constant,438374,438374,0,971,88.0,131.0,196.0,264.0,333.0,1707848515,3083526133093830
S39WNA0KC02087,constant,493602,493602,0,1068,90.0,138.0,209.0,280.0,351.0,1707848520,3083537248403397
S39WNA0KC02087,constant,547455,547455,0,1240,92.0,146.0,225.0,303.0,385.0,1707848524,3083548352989023
S39WNA0KC02087,constant,604589,604589,0,1412,95.0,155.0,243.0,331.0,421.0,1707848529,3083559503410515
S39WNA0KC02087,constant,656664,656664,0,1633,98.0,166.0,264.0,364.0,465.0,1707848534,3083570625423267
S39WNA0KC02087,constant,713088,713088,0,1777,102.0,178.0,288.0,398.0,503.0,1707848538,3083581789655331
S39WNA0KC02087,constant,768812,768812,0,1896,107.0,193.0,316.0,442.0,570.0,1707848543,3083592955398111
S39WNA0KC02087,constant,822511,822511,0,2080,113.0,211.0,352.0,495.0,652.0,1707848548,3083604133501212
S39WNA0KC02087,constant,877478,877478,0,2342,122.0,234.0,396.0,564.0,763.0,1707848552,3083615314822617
S39WNA0KC02087,constant,933469,933469,0,2571,135.0,266.0,458.0,676.0,1119.0,1707848557,3083626511074596
S39WNA0KC02087,constant,987835,987835,0,2814,167.0,338.0,591.0,997.0,1988.0,1707848562,3083637720588855
S39WNA0KC02087,constant,1042415,1015138,73763,3384,585.0,7535.0,inf,inf,inf,1707848566,3083648941497396
S39WNA0KC02087,constant,1096873,1014133,223842,3662,2801.0,5854.0,inf,inf,inf,1707848571,3083660237020551
