SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
S47ANA0M400923,constant,54426,54426,0,90,79.0,95.0,140.0,169.0,211.0,1707848408,3084491484990621
S47ANA0M400923,constant,109490,109490,0,193,81.0,102.0,156.0,203.0,260.0,1707848413,3084502555384686
S47ANA0M400923,constant,163965,163965,0,301,83.0,117.0,173.0,233.0,301.0,1707848417,3084513608006595
S47ANA0M400923,constant,219350,219350,0,440,88.0,131.0,195.0,270.0,357.0,1707848422,3084524687786079
S47ANA0M400923,constant,274304,274304,0,599,92.0,143.0,220.0,310.0,407.0,1707848427,3084535763391999
S47ANA0M400923,constant,329935,329935,0,745,94.0,155.0,253.0,367.0,501.0,1707848431,3084546854699271
S47ANA0M400923,constant,383594,383594,0,863,98.0,171.0,290.0,429.0,599.0,1707848436,3084557943920223
S47ANA0M400923,constant,438093,438093,0,983,104.0,192.0,342.0,514.0,720.0,1707848441,3084569062311921
S47ANA0M400923,constant,494544,494544,0,1149,114.0,223.0,413.0,638.0,877.0,1707848445,3084580199714829
S47ANA0M400923,constant,547715,547715,0,1291,130.0,264.0,503.0,762.0,1011.0,1707848450,3084591334147632
S47ANA0M400923,constant,602912,602912,0,1445,149.0,331.0,650.0,1016.0,1328.0,1707848454,3084602486111970
S47ANA0M400923,constant,657883,657883,0,1672,172.0,440.0,885.0,1343.0,1744.0,1707848459,3084613657361178
S47ANA0M400923,constant,712319,712319,0,1932,314.0,840.0,1911.0,3757.0,4985.0,1707848464,3084624832113297
S47ANA0M400923,constant,768072,719393,131543,3035,3180.0,7729.0,inf,inf,inf,1707848468,3084636044501043
S47ANA0M400923,constant,821379,719212,276445,3489,3725.0,inf,inf,inf,inf,1707848473,3084647301417081
S47ANA0M400923,constant,876483,718031,428654,3993,4040.0,inf,inf,inf,inf,1707848478,3084658562621184
S47ANA0M400923,constant,932922,719202,577489,4121,4177.0,inf,inf,inf,inf,1707848483,3084669843435108
S47ANA0M400923,constant,988395,719370,727264,4580,4389.0,inf,inf,inf,inf,1707848487,3084681126911106
S47ANA0M400923,constant,1043035,719370,875094,4622,4556.0,inf,inf,inf,inf,1707848492,3084692419230258
S47ANA0M400923,constant,1097189,719138,1022176,5258,4701.0,inf,inf,inf,inf,1707848497,3084703723583484
