SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
S47ANA0M403400,constant,26471,26471,0,38,29.0,92.0,173.0,755.0,1545.0,1710125013,9432131413222947
S47ANA0M403400,constant,52903,52903,0,85,57.0,92.0,604.0,3373.0,5563.0,1710125018,9432142440494604
S47ANA0M403400,constant,79477,79477,0,126,56.0,93.0,885.0,2298.0,3042.0,1710125022,9432153491927601
S47ANA0M403400,constant,105818,105818,0,193,56.0,97.0,1359.0,2729.0,3529.0,1710125027,9432164558039982
S47ANA0M403400,constant,132650,132650,0,241,58.0,128.0,1770.0,2918.0,3585.0,1710125031,9432175618821636
S47ANA0M403400,constant,159448,159448,0,321,64.0,177.0,1981.0,3184.0,5266.0,1710125036,9432186687336615
S47ANA0M403400,constant,186109,186109,0,385,60.0,472.0,2467.0,3392.0,3984.0,1710125041,9432197765884494
S47ANA0M403400,constant,212613,212613,0,437,68.0,660.0,2612.0,3524.0,4019.0,1710125045,9432208851002622
S47ANA0M403400,constant,239351,239351,0,511,73.0,875.0,2822.0,4016.0,5535.0,1710125050,9432219942688347
S47ANA0M403400,constant,265224,265224,0,601,74.0,1080.0,2921.0,3760.0,4364.0,1710125054,9432231031630380
S47ANA0M403400,constant,292421,292421,0,682,75.0,1413.0,3233.0,4440.0,5932.0,1710125059,9432242145846447
S47ANA0M403400,constant,318677,318677,0,755,77.0,1702.0,3413.0,4886.0,6737.0,1710125064,9432253268257902
S47ANA0M403400,constant,345149,345149,0,908,89.0,1898.0,3457.0,4444.0,5325.0,1710125068,9432264391564446
S47ANA0M403400,constant,372226,370771,3938,1062,1886.0,5072.0,8323.0,inf,inf,1710125073,9432275518446207
S47ANA0M403400,constant,398440,377566,56507,1090,4248.0,10039.0,inf,inf,inf,1710125078,9432286680057762
S47ANA0M403400,constant,425375,378508,126851,1251,5368.0,inf,inf,inf,inf,1710125082,9432297875875335
S47ANA0M403400,constant,451732,375553,206151,1355,6323.0,inf,inf,inf,inf,1710125087,9432309078660678
S47ANA0M403400,constant,478159,372850,285033,1440,7037.0,inf,inf,inf,inf,1710125092,9432320290116216
S47ANA0M403400,constant,503901,370953,360024,1486,7747.0,inf,inf,inf,inf,1710125096,9432331503967146
S47ANA0M403400,constant,531269,378538,413522,1667,7843.0,inf,inf,inf,inf,1710125101,9432342729330204
S47ANA0M403400,constant,558084,382057,476135,1771,8194.0,inf,inf,inf,inf,1710125106,9432353962345500
S47ANA0M403400,constant,585884,371793,578849,1748,9296.0,inf,inf,inf,inf,1710125110,9432365197004859
S47ANA0M403400,constant,611798,376162,637096,1833,9599.0,inf,inf,inf,inf,1710125115,9432376437101793
S47ANA0M403400,constant,637142,375973,706734,1932,9912.0,inf,inf,inf,inf,1710125120,9432387676937301
S47ANA0M403400,constant,664816,381841,765222,2047,10156.0,inf,inf,inf,inf,1710125124,9432398931078738
S47ANA0M403400,constant,691680,373835,859419,2220,11418.0,inf,inf,inf,inf,1710125129,9432410187856239
S47ANA0M403400,constant,718369,376369,924573,2248,12271.0,inf,inf,inf,inf,1710125134,9432421449560097
S47ANA0M403400,constant,743665,379251,986431,2299,13478.0,inf,inf,inf,inf,1710125139,9432432708379206
S47ANA0M403400,constant,771625,377242,1066590,2296,inf,inf,inf,inf,inf,1710125143,9432443988057027
S47ANA0M403400,constant,797333,375762,1140120,2406,inf,inf,inf,inf,inf,1710125148,9432455262846300
