SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
S5CVNA0N101050,constant,26258,26258,0,48,76.0,92.0,125.0,156.0,185.0,1767935036,96502082483288721
S5CVNA0N101050,constant,53022,53022,0,113,77.0,93.0,137.0,171.0,214.0,1767935039,96502088736447918
S5CVNA0N101050,constant,79563,79563,0,183,78.0,95.0,145.0,183.0,222.0,1767935042,96502094965476876
S5CVNA0N101050,constant,105645,105645,0,231,79.0,99.0,153.0,197.0,241.0,1767935044,96502101221662431
S5CVNA0N101050,constant,131941,131941,0,324,80.0,107.0,163.0,218.0,280.0,1767935047,96502107463742274
S5CVNA0N101050,constant,158282,158282,0,444,82.0,115.0,170.0,229.0,298.0,1767935049,96502113703654281
S5CVNA0N101050,constant,185548,185548,0,508,84.0,123.0,181.0,246.0,320.0,1767935052,96502119957400437
S5CVNA0N101050,constant,212179,212179,0,576,86.0,129.0,193.0,268.0,376.0,1767935055,96502126211526489
S5CVNA0N101050,constant,238255,238255,0,656,89.0,134.0,204.0,285.0,394.0,1767935057,96502132455612651
S5CVNA0N101050,constant,263835,263835,0,735,91.0,139.0,214.0,300.0,380.0,1767935060,96502138703299173
S5CVNA0N101050,constant,290811,290811,0,791,91.0,146.0,230.0,322.0,420.0,1767935062,96502144964973096
S5CVNA0N101050,constant,317617,317617,0,897,92.0,151.0,243.0,346.0,464.0,1767935065,96502151218805256
S5CVNA0N101050,constant,345108,345108,0,987,94.0,158.0,262.0,377.0,492.0,1767935068,96502157477204535
S5CVNA0N101050,constant,369643,369643,0,1047,95.0,165.0,278.0,406.0,571.0,1767935070,96502163731613418
S5CVNA0N101050,constant,397668,397668,0,1187,97.0,174.0,301.0,451.0,648.0,1767935073,96502170000026694
S5CVNA0N101050,constant,423662,423662,0,1268,99.0,183.0,319.0,473.0,638.0,1767935075,96502176264740457
S5CVNA0N101050,constant,450013,450013,0,1406,103.0,196.0,349.0,530.0,728.0,1767935078,96502182528815952
S5CVNA0N101050,constant,477422,477422,0,1507,107.0,209.0,381.0,585.0,769.0,1767935081,96502188799125159
S5CVNA0N101050,constant,503269,503269,0,1542,113.0,226.0,421.0,642.0,844.0,1767935083,96502195064000883
S5CVNA0N101050,constant,529513,529513,0,1633,120.0,245.0,460.0,703.0,924.0,1767935086,96502201335113859
S5CVNA0N101050,constant,555502,555502,0,1807,128.0,268.0,513.0,775.0,1001.0,1767935089,96502207609778994
S5CVNA0N101050,constant,582548,582548,0,1855,136.0,297.0,575.0,855.0,1312.0,1767935091,96502213886539104
S5CVNA0N101050,constant,610029,610029,0,1902,145.0,338.0,665.0,1016.0,1323.0,1767935094,96502220168105361
S5CVNA0N101050,constant,635608,635608,0,2071,154.0,378.0,757.0,1113.0,1532.0,1767935096,96502226450007786
S5CVNA0N101050,constant,661960,661960,0,2145,165.0,438.0,883.0,1332.0,1733.0,1767935099,96502232735478987
S5CVNA0N101050,constant,689952,689952,0,2265,186.0,531.0,1056.0,1521.0,2091.0,1767935102,96502239021174051
S5CVNA0N101050,constant,715805,715805,0,2867,327.0,885.0,2128.0,4487.0,5216.0,1767935104,96502245312779247
S5CVNA0N101050,constant,741482,721252,18259,3005,1531.0,7123.0,inf,inf,inf,1767935107,96502251612378042
S5CVNA0N101050,constant,767584,722411,40765,2702,3195.0,5619.0,inf,inf,inf,1767935110,96502257951472452
S5CVNA0N101050,constant,794619,719924,67479,2755,3546.0,7841.0,inf,inf,inf,1767935112,96502264278428604
