SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
S5CVNA0N101050,constant,24742,24742,0,38,75.0,91.0,146.0,796.0,1715.0,1708978496,29588630060697
S5CVNA0N101050,constant,49599,49599,0,90,76.0,92.0,460.0,1729.0,2761.0,1708978501,29599669487766
S5CVNA0N101050,constant,74723,74723,0,169,75.0,93.0,898.0,2440.0,4357.0,1708978506,29610745817031
S5CVNA0N101050,constant,99551,99551,0,221,76.0,99.0,1343.0,2750.0,4520.0,1708978510,29621787367602
S5CVNA0N101050,constant,124053,124053,0,306,76.0,121.0,1883.0,3129.0,4605.0,1708978515,29632839937497
S5CVNA0N101050,constant,149368,149368,0,403,77.0,142.0,2214.0,3272.0,3930.0,1708978519,29643908250210
S5CVNA0N101050,constant,174220,174220,0,460,77.0,190.0,2450.0,3433.0,4056.0,1708978524,29654978733570
S5CVNA0N101050,constant,198937,198937,0,493,78.0,478.0,2757.0,3909.0,5290.0,1708978529,29666066311533
S5CVNA0N101050,constant,224522,224522,0,589,80.0,745.0,2941.0,3893.0,4550.0,1708978533,29677158997530
S5CVNA0N101050,constant,249032,249032,0,710,83.0,1029.0,3164.0,4199.0,5399.0,1708978538,29688254251641
S5CVNA0N101050,constant,273946,273946,0,759,91.0,1313.0,3270.0,4260.0,5143.0,1708978542,29699352085290
S5CVNA0N101050,constant,298712,298712,0,828,101.0,1600.0,3469.0,4517.0,5569.0,1708978547,29710471186452
S5CVNA0N101050,constant,324295,324295,0,1201,229.0,1962.0,3760.0,4912.0,6121.0,1708978552,29721595025004
S5CVNA0N101050,constant,349351,349351,0,1287,529.0,2375.0,4172.0,5778.0,7414.0,1708978556,29732722072170
S5CVNA0N101050,constant,373270,373160,298,1262,957.0,2996.0,5580.0,8207.0,inf,1708978561,29743845832125
S5CVNA0N101050,constant,398801,397825,2638,1238,1427.0,3850.0,7809.0,inf,inf,1708978566,29755011158019
S5CVNA0N101050,constant,423399,408856,39333,1373,3377.0,8200.0,inf,inf,inf,1708978570,29766176024031
S5CVNA0N101050,constant,448477,412635,97036,1574,4519.0,11366.0,inf,inf,inf,1708978575,29777362294446
S5CVNA0N101050,constant,473197,421044,141078,1675,4997.0,inf,inf,inf,inf,1708978580,29788574555127
S5CVNA0N101050,constant,498039,412859,230328,1797,5934.0,inf,inf,inf,inf,1708978584,29799785736720
S5CVNA0N101050,constant,523205,416482,288655,1832,6237.0,inf,inf,inf,inf,1708978589,29811000852729
S5CVNA0N101050,constant,547371,419285,346733,1960,6461.0,inf,inf,inf,inf,1708978594,29822214538173
S5CVNA0N101050,constant,574456,416503,427067,1842,7035.0,inf,inf,inf,inf,1708978598,29833451039628
S5CVNA0N101050,constant,597666,414443,495715,2065,7522.0,inf,inf,inf,inf,1708978603,29844679246098
S5CVNA0N101050,constant,622798,417701,554778,2056,7751.0,inf,inf,inf,inf,1708978608,29855920802232
S5CVNA0N101050,constant,648508,413901,634538,2089,8414.0,inf,inf,inf,inf,1708978612,29867165578191
S5CVNA0N101050,constant,672030,421343,678410,2292,8389.0,inf,inf,inf,inf,1708978617,29878414151640
S5CVNA0N101050,constant,696609,417221,756444,2401,8938.0,inf,inf,inf,inf,1708978622,29889666355698
S5CVNA0N101050,constant,723402,416665,829720,2446,9395.0,inf,inf,inf,inf,1708978626,29900933132307
S5CVNA0N101050,constant,747305,416939,893470,2558,9751.0,inf,inf,inf,inf,1708978631,29912202307575
S5CVNA0N101050,constant,772070,420132,952346,2900,10308.0,inf,inf,inf,inf,1708978636,29923470890409
S5CVNA0N101050,constant,796857,416422,1029411,2559,11115.0,inf,inf,inf,inf,1708978641,29934747385608
S5CVNA0N101050,constant,823137,415126,1102848,2776,13307.0,inf,inf,inf,inf,1708978645,29946035644245
S5CVNA0N101050,constant,847217,417651,1162329,3036,inf,inf,inf,inf,inf,1708978650,29957314114458
S5CVNA0N101050,constant,871225,418161,1226943,3055,inf,inf,inf,inf,inf,1708978655,29968598701338
S5CVNA0N101050,constant,897226,414725,1305293,3062,inf,inf,inf,inf,inf,1708978659,29979897529533
S5CVNA0N101050,constant,923043,421013,1356796,3062,inf,inf,inf,inf,inf,1708978664,29991202726311
S5CVNA0N101050,constant,947471,414554,1440750,3318,inf,inf,inf,inf,inf,1708978669,30002502202044
S5CVNA0N101050,constant,972768,428003,1472700,3359,inf,inf,inf,inf,inf,1708978673,30013809956487
S5CVNA0N101050,constant,996909,415284,1573018,3427,inf,inf,inf,inf,inf,1708978678,30025124865693
