SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
SDM000015A60,constant,14750,14750,0,8,16.0,17.0,20.0,23.0,25.0,1708978055,52751526335142
SDM000015A60,constant,29921,29921,0,25,16.0,18.0,21.0,25.0,27.0,1708978060,52762584700872
SDM000015A60,constant,44517,44517,0,63,16.0,18.0,22.0,26.0,29.0,1708978065,52773606335313
SDM000015A60,constant,59490,59490,0,86,16.0,18.0,22.0,27.0,31.0,1708978069,52784633039802
SDM000015A60,constant,74719,74719,0,117,17.0,19.0,23.0,27.0,31.0,1708978074,52795675318212
SDM000015A60,constant,89566,89566,0,170,17.0,19.0,24.0,28.0,33.0,1708978078,52806714778155
SDM000015A60,constant,104673,104673,0,164,17.0,19.0,24.0,29.0,33.0,1708978083,52817755260633
SDM000015A60,constant,119263,119263,0,186,17.0,20.0,25.0,29.0,33.0,1708978088,52828806470376
SDM000015A60,constant,134036,134036,0,237,17.0,20.0,25.0,30.0,35.0,1708978092,52839837857454
SDM000015A60,constant,149180,149180,0,285,17.0,21.0,26.0,31.0,36.0,1708978097,52850891382582
SDM000015A60,constant,164099,164099,0,317,17.0,21.0,27.0,32.0,38.0,1708978101,52861948966533
SDM000015A60,constant,179338,179338,0,356,17.0,21.0,27.0,33.0,39.0,1708978106,52873001728770
SDM000015A60,constant,194395,194395,0,402,17.0,22.0,28.0,34.0,40.0,1708978111,52884051675219
SDM000015A60,constant,209299,209299,0,395,18.0,22.0,29.0,35.0,41.0,1708978115,52895110920999
SDM000015A60,constant,224107,224107,0,474,18.0,23.0,30.0,36.0,42.0,1708978120,52906182066573
SDM000015A60,constant,239574,239574,0,503,18.0,23.0,30.0,37.0,43.0,1708978125,52917242596293
SDM000015A60,constant,253966,253966,0,561,18.0,24.0,31.0,39.0,45.0,1708978129,52928310671667
SDM000015A60,constant,268318,268318,0,530,18.0,24.0,32.0,40.0,47.0,1708978134,52939367240181
SDM000015A60,constant,283666,283666,0,644,19.0,25.0,34.0,42.0,49.0,1708978138,52950456682662
SDM000015A60,constant,299313,299313,0,674,19.0,26.0,35.0,43.0,51.0,1708978143,52961530432134
SDM000015A60,constant,313536,313536,0,721,19.0,26.0,36.0,45.0,53.0,1708978148,52972610364099
SDM000015A60,constant,329004,329004,0,810,20.0,27.0,38.0,48.0,56.0,1708978152,52983690941133
SDM000015A60,constant,343367,343367,0,807,20.0,28.0,40.0,51.0,60.0,1708978157,52994779200168
SDM000015A60,constant,359130,359130,0,837,20.0,29.0,43.0,54.0,62.0,1708978162,53005875540966
SDM000015A60,constant,373099,373099,0,925,21.0,31.0,45.0,57.0,67.0,1708978166,53016950070048
SDM000015A60,constant,389083,389083,0,977,21.0,32.0,48.0,59.0,68.0,1708978171,53028047613135
SDM000015A60,constant,403366,403366,0,1007,21.0,34.0,50.0,62.0,72.0,1708978175,53039146663479
SDM000015A60,constant,418355,418355,0,1154,22.0,36.0,53.0,65.0,77.0,1708978180,53050245802959
SDM000015A60,constant,433880,433880,0,1145,23.0,39.0,56.0,68.0,77.0,1708978185,53061349908933
SDM000015A60,constant,449114,449114,0,1255,23.0,43.0,61.0,74.0,90.0,1708978189,53072453627223
SDM000015A60,constant,463442,463442,0,1247,24.0,47.0,65.0,81.0,101.0,1708978194,53083558240671
SDM000015A60,constant,478370,478370,0,1339,26.0,51.0,81.0,222.0,335.0,1708978199,53094669079659
SDM000015A60,constant,493768,490121,9868,1569,3051.0,6854.0,11780.0,inf,inf,1708978203,53105783374083
SDM000015A60,constant,508225,495929,33275,1652,3699.0,7839.0,inf,inf,inf,1708978208,53116967736168
SDM000015A60,constant,522752,502601,54618,1693,4449.0,8556.0,inf,inf,inf,1708978213,53128142889183
SDM000015A60,constant,538322,487583,137309,1766,5138.0,10091.0,inf,inf,inf,1708978217,53139344570112
SDM000015A60,constant,553772,498608,149212,1910,5060.0,10785.0,inf,inf,inf,1708978222,53150542308972
SDM000015A60,constant,567748,499462,184719,1859,5130.0,inf,inf,inf,inf,1708978227,53161739149533
SDM000015A60,constant,582503,498992,226043,1942,5298.0,inf,inf,inf,inf,1708978231,53172932176860
SDM000015A60,constant,599321,490077,295396,1957,5600.0,inf,inf,inf,inf,1708978236,53184139428840
