SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
SDM000015A60,constant,27153,27153,0,33,83.0,85.0,102.0,137.0,152.0,1708977667,51819488644944
SDM000015A60,constant,54603,54603,0,86,83.0,86.0,119.0,149.0,1023.0,1708977671,51830539919556
SDM000015A60,constant,81762,81762,0,131,83.0,87.0,127.0,147.0,182.0,1708977676,51841562977164
SDM000015A60,constant,109172,109172,0,157,83.0,88.0,131.0,158.0,191.0,1708977680,51852614813634
SDM000015A60,constant,137136,137136,0,188,83.0,91.0,135.0,163.0,197.0,1708977685,51863666918964
SDM000015A60,constant,163937,163937,0,281,84.0,94.0,137.0,172.0,202.0,1708977690,51874723929138
SDM000015A60,constant,192192,192192,0,370,84.0,97.0,140.0,180.0,217.0,1708977694,51885785225433
SDM000015A60,constant,218989,218989,0,410,84.0,99.0,143.0,185.0,223.0,1708977699,51896843612973
SDM000015A60,constant,246056,246056,0,488,84.0,102.0,147.0,191.0,235.0,1708977703,51907900293123
SDM000015A60,constant,273836,273836,0,512,85.0,105.0,150.0,196.0,242.0,1708977708,51918972012462
SDM000015A60,constant,300988,300988,0,595,85.0,108.0,155.0,200.0,245.0,1708977713,51930046429305
SDM000015A60,constant,328785,328785,0,646,86.0,112.0,160.0,208.0,255.0,1708977717,51941129874192
SDM000015A60,constant,356791,356791,0,717,86.0,115.0,164.0,213.0,262.0,1708977722,51952224439485
SDM000015A60,constant,383772,383772,0,799,87.0,119.0,169.0,220.0,274.0,1708977727,51963309369309
SDM000015A60,constant,410653,410653,0,851,87.0,122.0,174.0,228.0,284.0,1708977731,51974405109189
SDM000015A60,constant,437707,437707,0,924,88.0,125.0,179.0,233.0,284.0,1708977736,51985505020389
SDM000015A60,constant,466109,466109,0,996,89.0,128.0,184.0,242.0,303.0,1708977740,51996622904325
SDM000015A60,constant,492845,492845,0,1096,89.0,131.0,188.0,249.0,314.0,1708977745,52007729379354
SDM000015A60,constant,520785,520785,0,1183,90.0,134.0,193.0,254.0,314.0,1708977750,52018858383744
SDM000015A60,constant,547936,547936,0,1198,91.0,136.0,199.0,264.0,327.0,1708977754,52029983364042
SDM000015A60,constant,575038,575038,0,1330,93.0,139.0,204.0,270.0,337.0,1708977759,52041104886645
SDM000015A60,constant,602809,602809,0,1395,94.0,142.0,209.0,279.0,353.0,1708977764,52052247242016
SDM000015A60,constant,630527,630527,0,1527,95.0,145.0,215.0,288.0,363.0,1708977768,52063385069379
SDM000015A60,constant,658625,658625,0,1534,97.0,148.0,222.0,298.0,374.0,1708977773,52074533643351
SDM000015A60,constant,686234,686234,0,1633,98.0,151.0,228.0,305.0,384.0,1708977778,52085682117105
SDM000015A60,constant,713868,713868,0,1856,100.0,155.0,235.0,316.0,399.0,1708977782,52096837274694
SDM000015A60,constant,740674,740674,0,1803,102.0,159.0,242.0,326.0,412.0,1708977787,52107995213898
SDM000015A60,constant,767752,767752,0,1909,104.0,163.0,251.0,338.0,425.0,1708977792,52119159519936
SDM000015A60,constant,795358,795358,0,1990,106.0,167.0,257.0,347.0,436.0,1708977796,52130331822441
SDM000015A60,constant,822671,822671,0,2114,108.0,173.0,265.0,358.0,452.0,1708977801,52141506424659
SDM000015A60,constant,849618,849618,0,2235,111.0,178.0,275.0,374.0,469.0,1708977806,52152684636204
SDM000015A60,constant,877619,877619,0,2371,114.0,184.0,285.0,387.0,492.0,1708977810,52163874883446
SDM000015A60,constant,905378,905378,0,2486,117.0,190.0,295.0,400.0,497.0,1708977815,52175068534425
SDM000015A60,constant,933551,933551,0,2659,122.0,197.0,307.0,413.0,511.0,1708977820,52186267020552
SDM000015A60,constant,959166,959166,0,2597,126.0,205.0,318.0,431.0,535.0,1708977824,52197462527046
SDM000015A60,constant,987497,987497,0,2808,132.0,214.0,332.0,447.0,555.0,1708977829,52208676836547
SDM000015A60,constant,1015085,1015085,0,2976,141.0,227.0,351.0,479.0,600.0,1708977834,52219889814864
SDM000015A60,constant,1042456,1042456,0,3283,155.0,257.0,405.0,541.0,686.0,1708977838,52231107180819
SDM000015A60,constant,1069691,1041579,75971,8264,1770.0,3567.0,inf,inf,inf,1708977843,52242335990841
SDM000015A60,constant,1094762,1040625,146485,8711,2058.0,3546.0,inf,inf,inf,1708977848,52253590359957
