SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
SDM00001C5D1,constant,26968,26968,0,58,83.0,86.0,102.0,137.0,147.0,1708977713,27708442732008
SDM00001C5D1,constant,54693,54693,0,121,84.0,87.0,118.0,142.0,175.0,1708977718,27719552545914
SDM00001C5D1,constant,81682,81682,0,160,84.0,88.0,128.0,147.0,188.0,1708977722,27730591724976
SDM00001C5D1,constant,108903,108903,0,231,84.0,89.0,132.0,157.0,198.0,1708977727,27741644448600
SDM00001C5D1,constant,136884,136884,0,346,84.0,92.0,135.0,166.0,200.0,1708977731,27752702499039
SDM00001C5D1,constant,164634,164634,0,414,85.0,95.0,139.0,199.0,1074.0,1708977736,27763769516568
SDM00001C5D1,constant,191710,191710,0,479,85.0,98.0,141.0,180.0,217.0,1708977741,27774831729771
SDM00001C5D1,constant,218930,218930,0,548,85.0,100.0,145.0,212.0,1067.0,1708977745,27785895998241
SDM00001C5D1,constant,246209,246209,0,673,85.0,103.0,147.0,190.0,230.0,1708977750,27796978244463
SDM00001C5D1,constant,274088,274088,0,770,86.0,106.0,153.0,232.0,1061.0,1708977754,27808063420026
SDM00001C5D1,constant,300762,300762,0,813,86.0,110.0,156.0,203.0,250.0,1708977759,27819140605446
SDM00001C5D1,constant,328697,328697,0,865,86.0,113.0,163.0,245.0,1068.0,1708977764,27830243162247
SDM00001C5D1,constant,356358,356358,0,1020,87.0,116.0,165.0,215.0,264.0,1708977768,27841354756605
SDM00001C5D1,constant,384033,384033,0,1014,87.0,120.0,171.0,222.0,274.0,1708977773,27852454949973
SDM00001C5D1,constant,410910,410910,0,1179,88.0,123.0,175.0,229.0,285.0,1708977778,27863559270483
SDM00001C5D1,constant,438653,438653,0,1255,89.0,126.0,180.0,235.0,292.0,1708977782,27874691216118
SDM00001C5D1,constant,466054,466054,0,1310,90.0,129.0,185.0,242.0,298.0,1708977787,27885816826428
SDM00001C5D1,constant,494141,494141,0,1418,90.0,132.0,190.0,250.0,311.0,1708977791,27896945939169
SDM00001C5D1,constant,521219,521219,0,1540,91.0,135.0,195.0,259.0,325.0,1708977796,27908088501162
SDM00001C5D1,constant,548299,548299,0,1530,92.0,137.0,200.0,263.0,324.0,1708977801,27919230044220
SDM00001C5D1,constant,575972,575972,0,1731,94.0,140.0,205.0,274.0,343.0,1708977805,27930378621069
SDM00001C5D1,constant,602959,602959,0,1878,95.0,143.0,211.0,280.0,353.0,1708977810,27941531731095
SDM00001C5D1,constant,630792,630792,0,1977,96.0,146.0,216.0,288.0,364.0,1708977815,27952697185833
SDM00001C5D1,constant,656782,656782,0,2017,98.0,149.0,223.0,298.0,381.0,1708977819,27963854604837
SDM00001C5D1,constant,685565,685565,0,2154,99.0,153.0,230.0,308.0,389.0,1708977824,27975035479611
SDM00001C5D1,constant,712727,712727,0,2296,101.0,156.0,237.0,319.0,397.0,1708977829,27986212604649
SDM00001C5D1,constant,739751,739751,0,2451,103.0,160.0,243.0,327.0,414.0,1708977833,27997395927894
SDM00001C5D1,constant,768308,768308,0,2473,105.0,164.0,251.0,339.0,423.0,1708977838,28008587694615
SDM00001C5D1,constant,794476,794476,0,2666,107.0,169.0,258.0,349.0,441.0,1708977843,28019784859614
SDM00001C5D1,constant,822232,822232,0,2807,110.0,174.0,267.0,363.0,462.0,1708977847,28030989072258
SDM00001C5D1,constant,850690,850690,0,3037,112.0,179.0,276.0,372.0,474.0,1708977852,28042196203065
SDM00001C5D1,constant,877720,877720,0,3132,115.0,185.0,286.0,387.0,489.0,1708977857,28053410070333
SDM00001C5D1,constant,905873,905873,0,3429,119.0,192.0,297.0,400.0,513.0,1708977861,28064638995015
SDM00001C5D1,constant,931728,931728,0,3557,123.0,198.0,308.0,416.0,523.0,1708977866,28075853909802
SDM00001C5D1,constant,959200,959200,0,3867,128.0,206.0,319.0,434.0,555.0,1708977871,28087092507225
SDM00001C5D1,constant,987904,987904,0,4091,134.0,216.0,335.0,452.0,565.0,1708977875,28098338576673
SDM00001C5D1,constant,1014723,1014723,0,4467,143.0,230.0,356.0,487.0,626.0,1708977880,28109578492230
SDM00001C5D1,constant,1042628,1042628,0,5536,158.0,264.0,427.0,571.0,704.0,1708977885,28120832235624
SDM00001C5D1,constant,1064054,1039935,65206,20323,1841.0,3264.0,inf,inf,inf,1708977889,28132093425282
SDM00001C5D1,constant,1090549,1039329,138588,21537,2109.0,3390.0,inf,inf,inf,1708977894,28143385142103
