SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
SDM00001C5D1,constant,32727,32727,0,63,81.0,87.0,129.0,327.0,434.0,1767934646,96501145761704121
SDM00001C5D1,constant,65889,65889,0,163,81.0,88.0,233.0,354.0,709.0,1767934649,96501152020814403
SDM00001C5D1,constant,99350,99350,0,271,81.0,89.0,276.0,377.0,470.0,1767934651,96501158265268020
SDM00001C5D1,constant,132284,132284,0,335,82.0,91.0,295.0,392.0,1320.0,1767934654,96501164509908663
SDM00001C5D1,constant,164629,164629,0,471,82.0,96.0,312.0,413.0,2035.0,1767934657,96501170746951050
SDM00001C5D1,constant,198333,198333,0,590,83.0,101.0,320.0,416.0,1610.0,1767934659,96501177003624066
SDM00001C5D1,constant,232247,232247,0,711,84.0,112.0,330.0,435.0,1761.0,1767934662,96501183253891398
SDM00001C5D1,constant,263989,263989,0,800,84.0,126.0,339.0,455.0,2106.0,1767934664,96501189498810300
SDM00001C5D1,constant,298567,298567,0,865,85.0,140.0,347.0,518.0,2104.0,1767934667,96501195757390548
SDM00001C5D1,constant,330133,330133,0,1030,86.0,156.0,357.0,596.0,2035.0,1767934670,96501202015425687
SDM00001C5D1,constant,363784,363784,0,1141,86.0,177.0,369.0,698.0,2329.0,1767934672,96501208271963088
SDM00001C5D1,constant,397563,397563,0,1205,87.0,201.0,382.0,762.0,2348.0,1767934675,96501214538416869
SDM00001C5D1,constant,430104,430104,0,1396,88.0,219.0,408.0,1102.0,2489.0,1767934677,96501220800635748
SDM00001C5D1,constant,462402,462402,0,1534,89.0,236.0,433.0,1080.0,2415.0,1767934680,96501227067238818
SDM00001C5D1,constant,494408,494408,0,1663,90.0,254.0,470.0,1447.0,2657.0,1767934683,96501233331650466
SDM00001C5D1,constant,529807,529807,0,1740,91.0,271.0,501.0,1528.0,2623.0,1767934685,96501239610529818
SDM00001C5D1,constant,562944,562944,0,2009,93.0,285.0,542.0,1660.0,2697.0,1767934688,96501245884471821
SDM00001C5D1,constant,595122,595122,0,2057,94.0,298.0,585.0,1803.0,2773.0,1767934690,96501252158861922
SDM00001C5D1,constant,629944,629944,0,2100,97.0,311.0,631.0,1929.0,2756.0,1767934693,96501258442212081
SDM00001C5D1,constant,661217,661217,0,2252,99.0,327.0,704.0,1972.0,2704.0,1767934696,96501264723266031
SDM00001C5D1,constant,695089,695089,0,2557,103.0,344.0,760.0,1917.0,2696.0,1767934698,96501271009669125
SDM00001C5D1,constant,729754,729754,0,2659,107.0,365.0,834.0,1975.0,2727.0,1767934701,96501277306350687
SDM00001C5D1,constant,762738,762738,0,2746,112.0,396.0,964.0,2144.0,2707.0,1767934704,96501283597515048
SDM00001C5D1,constant,795171,795171,0,3124,119.0,429.0,1038.0,2195.0,2790.0,1767934706,96501289895666130
SDM00001C5D1,constant,826494,826494,0,3427,129.0,479.0,1205.0,2321.0,2844.0,1767934709,96501296192981577
SDM00001C5D1,constant,860544,860544,0,3611,145.0,541.0,1346.0,2410.0,2915.0,1767934711,96501302499082914
SDM00001C5D1,constant,893712,893712,0,3732,171.0,620.0,1533.0,2527.0,2975.0,1767934714,96501308805739182
SDM00001C5D1,constant,926209,926209,0,3899,208.0,722.0,1680.0,2602.0,3112.0,1767934717,96501315115667850
SDM00001C5D1,constant,960086,960086,0,4146,295.0,936.0,1919.0,2792.0,3371.0,1767934719,96501321430134783
SDM00001C5D1,constant,987916,982479,4909,7567,1378.0,3613.0,5924.0,inf,inf,1767934722,96501327746658951
