SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
SDM000024C8D,constant,35954,35954,0,78,85.0,88.0,110.0,142.0,173.0,1767973293,96547536335034918
SDM000024C8D,constant,72500,72500,0,205,85.0,89.0,127.0,147.0,179.0,1767973296,96547542574113477
SDM000024C8D,constant,108692,108692,0,266,86.0,91.0,133.0,157.0,191.0,1767973298,96547548820418340
SDM000024C8D,constant,144564,144564,0,422,86.0,95.0,138.0,169.0,199.0,1767973301,96547555063040202
SDM000024C8D,constant,181798,181798,0,535,86.0,99.0,142.0,181.0,222.0,1767973304,96547561315323873
SDM000024C8D,constant,217371,217371,0,724,87.0,102.0,145.0,187.0,230.0,1767973306,96547567560268587
SDM000024C8D,constant,254244,254244,0,808,87.0,105.0,150.0,194.0,244.0,1767973309,96547573816989945
SDM000024C8D,constant,290360,290360,0,961,88.0,109.0,155.0,200.0,242.0,1767973311,96547580065045170
SDM000024C8D,constant,326961,326961,0,1203,88.0,114.0,161.0,207.0,255.0,1767973314,96547586319761532
SDM000024C8D,constant,363830,363830,0,1292,89.0,120.0,176.0,846.0,1179.0,1767973317,96547592577384780
SDM000024C8D,constant,401131,401131,0,1437,90.0,123.0,175.0,225.0,273.0,1767973319,96547598840574696
SDM000024C8D,constant,436403,436403,0,1617,90.0,127.0,180.0,236.0,291.0,1767973322,96547605100369377
SDM000024C8D,constant,472092,472092,0,1724,91.0,131.0,188.0,247.0,305.0,1767973325,96547611367926906
SDM000024C8D,constant,508636,508636,0,1932,93.0,136.0,204.0,921.0,1406.0,1767973327,96547617634357335
SDM000024C8D,constant,546599,546599,0,2125,94.0,139.0,200.0,261.0,326.0,1767973330,96547623911273520
SDM000024C8D,constant,581524,581524,0,2305,96.0,143.0,208.0,275.0,342.0,1767973332,96547630179810933
SDM000024C8D,constant,619034,619034,0,2562,97.0,146.0,216.0,287.0,358.0,1767973335,96547636458081549
SDM000024C8D,constant,655224,655224,0,2768,99.0,150.0,223.0,299.0,376.0,1767973338,96547642737722820
SDM000024C8D,constant,691446,691446,0,3047,101.0,155.0,232.0,311.0,396.0,1767973340,96547649021349453
SDM000024C8D,constant,727162,727162,0,3374,104.0,160.0,241.0,324.0,408.0,1767973343,96547655306491773
SDM000024C8D,constant,764750,764750,0,3514,106.0,165.0,251.0,337.0,431.0,1767973345,96547661596415610
SDM000024C8D,constant,799538,799538,0,3806,109.0,171.0,261.0,352.0,440.0,1767973348,96547667882181615
SDM000024C8D,constant,835342,835342,0,4129,112.0,178.0,273.0,368.0,451.0,1767973351,96547674184020858
SDM000024C8D,constant,873778,873778,0,4474,116.0,186.0,286.0,386.0,497.0,1767973353,96547680479810607
SDM000024C8D,constant,908786,908786,0,4677,121.0,194.0,300.0,405.0,534.0,1767973356,96547686779396112
SDM000024C8D,constant,943877,943877,0,5053,127.0,204.0,313.0,422.0,521.0,1767973359,96547693078103946
SDM000024C8D,constant,983488,983488,0,5510,135.0,217.0,335.0,453.0,581.0,1767973361,96547699387646079
SDM000024C8D,constant,1016668,1016668,0,6089,146.0,232.0,356.0,478.0,603.0,1767973364,96547705695368769
SDM000024C8D,constant,1050750,1050750,0,7761,169.0,295.0,490.0,655.0,846.0,1767973366,96547712009785044
SDM000024C8D,constant,1079183,1038055,37107,17219,1967.0,3501.0,inf,inf,inf,1767973369,96547718325789684
