SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
SDM000024C8D,constant,24789,24789,0,37,80.0,86.0,111.0,310.0,393.0,1708977916,49073905489266
SDM000024C8D,constant,49997,49997,0,71,80.0,86.0,176.0,335.0,409.0,1708977921,49084990581612
SDM000024C8D,constant,74879,74879,0,122,80.0,87.0,233.0,356.0,424.0,1708977926,49096037733324
SDM000024C8D,constant,99635,99635,0,178,81.0,88.0,270.0,370.0,490.0,1708977930,49107077542671
SDM000024C8D,constant,124682,124682,0,236,81.0,89.0,282.0,378.0,1318.0,1708977935,49118139667968
SDM000024C8D,constant,149545,149545,0,258,81.0,92.0,298.0,391.0,1238.0,1708977939,49129193702034
SDM000024C8D,constant,174378,174378,0,312,82.0,96.0,305.0,405.0,1286.0,1708977944,49140264628578
SDM000024C8D,constant,199585,199585,0,374,82.0,101.0,314.0,416.0,1750.0,1708977949,49151340028980
SDM000024C8D,constant,224402,224402,0,473,83.0,107.0,321.0,424.0,1821.0,1708977953,49162404941301
SDM000024C8D,constant,249661,249661,0,516,84.0,116.0,329.0,445.0,2099.0,1708977958,49173486759849
SDM000024C8D,constant,274533,274533,0,523,84.0,125.0,336.0,455.0,1967.0,1708977962,49184573474256
SDM000024C8D,constant,299308,299308,0,660,85.0,133.0,343.0,492.0,2120.0,1708977967,49195668052479
SDM000024C8D,constant,323574,323574,0,719,85.0,140.0,349.0,571.0,2382.0,1708977972,49206755044374
SDM000024C8D,constant,349403,349403,0,758,85.0,151.0,358.0,662.0,2399.0,1708977976,49217861156391
SDM000024C8D,constant,373875,373875,0,847,86.0,166.0,364.0,636.0,2298.0,1708977981,49228971619932
SDM000024C8D,constant,398217,398217,0,864,86.0,182.0,378.0,828.0,2432.0,1708977986,49240085705778
SDM000024C8D,constant,423060,423060,0,964,87.0,199.0,388.0,843.0,2368.0,1708977990,49251195363012
SDM000024C8D,constant,448694,448694,0,1014,88.0,213.0,403.0,1060.0,2451.0,1708977995,49262327769954
SDM000024C8D,constant,472811,472811,0,1085,88.0,227.0,428.0,1290.0,2535.0,1708977999,49273459128654
SDM000024C8D,constant,498076,498076,0,1114,89.0,240.0,454.0,1203.0,2471.0,1708978004,49284595986777
SDM000024C8D,constant,523400,523400,0,1217,90.0,254.0,486.0,1421.0,2596.0,1708978009,49295737021386
SDM000024C8D,constant,549073,549073,0,1294,91.0,266.0,517.0,1624.0,2626.0,1708978013,49306890995046
SDM000024C8D,constant,572879,572879,0,1412,93.0,279.0,545.0,1630.0,2660.0,1708978018,49318042920744
SDM000024C8D,constant,598089,598089,0,1437,94.0,290.0,590.0,1809.0,2689.0,1708978023,49329203976015
SDM000024C8D,constant,622450,622450,0,1564,96.0,301.0,631.0,1806.0,2683.0,1708978027,49340361126273
SDM000024C8D,constant,648233,648233,0,1617,98.0,311.0,674.0,1837.0,2692.0,1708978032,49351543269591
SDM000024C8D,constant,673676,673676,0,1734,100.0,324.0,736.0,1952.0,2766.0,1708978037,49362720456399
SDM000024C8D,constant,699359,699359,0,1877,103.0,338.0,788.0,1989.0,2790.0,1708978041,49373907323721
SDM000024C8D,constant,724291,724291,0,1936,106.0,354.0,861.0,2109.0,2805.0,1708978046,49385093239845
SDM000024C8D,constant,748713,748713,0,1970,109.0,372.0,920.0,2126.0,2831.0,1708978051,49396289603514
SDM000024C8D,constant,772732,772732,0,2232,113.0,396.0,1005.0,2178.0,2821.0,1708978055,49407486892260
SDM000024C8D,constant,798078,798078,0,2079,118.0,428.0,1093.0,2229.0,2852.0,1708978060,49418700505725
SDM000024C8D,constant,823714,823714,0,2281,124.0,472.0,1213.0,2304.0,2871.0,1708978065,49429918592925
SDM000024C8D,constant,848064,848064,0,2404,132.0,525.0,1356.0,2417.0,2924.0,1708978069,49441138006794
SDM000024C8D,constant,872067,872067,0,2577,143.0,578.0,1468.0,2451.0,2943.0,1708978074,49452364241244
SDM000024C8D,constant,896426,896426,0,2721,156.0,650.0,1593.0,2541.0,2997.0,1708978079,49463591603277
SDM000024C8D,constant,923298,923298,0,2907,176.0,748.0,1811.0,2708.0,3275.0,1708978083,49474844115465
SDM000024C8D,constant,947890,947890,0,3038,200.0,828.0,1935.0,2778.0,3400.0,1708978088,49486090127394
SDM000024C8D,constant,972689,972689,0,3417,237.0,956.0,2112.0,2916.0,3564.0,1708978093,49497342941499
SDM000024C8D,constant,996132,996132,0,3960,287.0,1102.0,2291.0,3127.0,3952.0,1708978097,49508607456096
