SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
SDM000024DB4,constant,36370,36370,0,76,85.0,88.0,110.0,140.0,155.0,1767973781,96548706605822001
SDM000024DB4,constant,72909,72909,0,174,85.0,89.0,128.0,146.0,186.0,1767973783,96548712844982775
SDM000024DB4,constant,107941,107941,0,320,86.0,91.0,133.0,158.0,198.0,1767973786,96548719090074828
SDM000024DB4,constant,145693,145693,0,457,86.0,95.0,138.0,170.0,194.0,1767973789,96548725335449799
SDM000024DB4,constant,181978,181978,0,536,86.0,98.0,142.0,182.0,220.0,1767973791,96548731586692926
SDM000024DB4,constant,217629,217629,0,729,87.0,102.0,146.0,186.0,230.0,1767973794,96548737824228852
SDM000024DB4,constant,255047,255047,0,844,87.0,105.0,150.0,194.0,229.0,1767973797,96548744081154942
SDM000024DB4,constant,291288,291288,0,1030,88.0,110.0,156.0,200.0,252.0,1767973799,96548750329326999
SDM000024DB4,constant,326042,326042,0,1171,88.0,114.0,162.0,211.0,263.0,1767973802,96548756587356015
SDM000024DB4,constant,363729,363729,0,1324,89.0,120.0,178.0,879.0,1187.0,1767973804,96548762851672095
SDM000024DB4,constant,400004,400004,0,1538,90.0,123.0,175.0,226.0,276.0,1767973807,96548769111574863
SDM000024DB4,constant,437496,437496,0,1707,90.0,128.0,182.0,239.0,296.0,1767973810,96548775373804536
SDM000024DB4,constant,473441,473441,0,1973,91.0,131.0,188.0,246.0,316.0,1767973812,96548781640014078
SDM000024DB4,constant,508517,508517,0,2132,93.0,136.0,204.0,938.0,1458.0,1767973815,96548787906921747
SDM000024DB4,constant,546412,546412,0,2501,94.0,139.0,201.0,265.0,323.0,1767973817,96548794179722622
SDM000024DB4,constant,582767,582767,0,2673,96.0,143.0,209.0,280.0,355.0,1767973820,96548800454158059
SDM000024DB4,constant,617620,617620,0,2920,97.0,146.0,215.0,287.0,364.0,1767973823,96548806727450796
SDM000024DB4,constant,654628,654628,0,3020,99.0,151.0,225.0,301.0,372.0,1767973825,96548813009803695
SDM000024DB4,constant,690992,690992,0,3284,101.0,155.0,233.0,312.0,385.0,1767973828,96548819291768550
SDM000024DB4,constant,727245,727245,0,3546,104.0,160.0,244.0,327.0,405.0,1767973830,96548825574400104
SDM000024DB4,constant,764960,764960,0,3857,106.0,166.0,252.0,340.0,426.0,1767973833,96548831865546027
SDM000024DB4,constant,798171,798171,0,4147,109.0,172.0,262.0,351.0,441.0,1767973836,96548838154357479
SDM000024DB4,constant,834498,834498,0,4559,112.0,178.0,274.0,371.0,458.0,1767973838,96548844448948293
SDM000024DB4,constant,873480,873480,0,4940,117.0,186.0,287.0,391.0,488.0,1767973841,96548850748648395
SDM000024DB4,constant,906859,906859,0,5253,121.0,194.0,299.0,404.0,510.0,1767973844,96548857048053588
SDM000024DB4,constant,944825,944825,0,5657,127.0,205.0,318.0,431.0,535.0,1767973846,96548863352417628
SDM000024DB4,constant,981438,981438,0,6211,134.0,216.0,335.0,451.0,573.0,1767973849,96548869660894122
SDM000024DB4,constant,1017448,1017448,0,6560,145.0,232.0,358.0,485.0,618.0,1767973851,96548875970118123
SDM000024DB4,constant,1051309,1051309,0,7999,172.0,314.0,571.0,738.0,889.0,1767973854,96548882282315610
SDM000024DB4,constant,1076920,1036756,36287,18038,2025.0,3294.0,inf,inf,inf,1767973857,96548888595984300
