SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
SDM000024DB4,constant,21898,21898,0,40,82.0,87.0,253.0,1076.0,1183.0,1768161063,96998179577903868
SDM000024DB4,constant,43306,43306,0,98,82.0,88.0,132.0,323.0,404.0,1768161066,96998185822483500
SDM000024DB4,constant,65425,65425,0,146,82.0,88.0,205.0,346.0,429.0,1768161068,96998192052873969
SDM000024DB4,constant,87208,87208,0,230,82.0,89.0,245.0,366.0,1378.0,1768161071,96998198303304906
SDM000024DB4,constant,108961,108961,0,291,83.0,90.0,269.0,371.0,983.0,1768161073,96998204546563338
SDM000024DB4,constant,130224,130224,0,342,83.0,92.0,282.0,377.0,511.0,1768161076,96998210791663206
SDM000024DB4,constant,152670,152670,0,453,84.0,95.0,290.0,389.0,1176.0,1768161079,96998217029989704
SDM000024DB4,constant,174405,174405,0,505,84.0,98.0,302.0,410.0,1398.0,1768161081,96998223281811468
SDM000024DB4,constant,196270,196270,0,579,85.0,102.0,309.0,414.0,1739.0,1768161084,96998229531001419
SDM000024DB4,constant,218143,218143,0,627,85.0,105.0,313.0,416.0,1676.0,1768161087,96998235781166940
SDM000024DB4,constant,241104,241104,0,719,85.0,112.0,322.0,433.0,1498.0,1768161089,96998242037748840
SDM000024DB4,constant,261350,261350,0,783,86.0,117.0,329.0,470.0,2203.0,1768161092,96998248287689217
SDM000024DB4,constant,283846,283846,0,882,86.0,125.0,335.0,469.0,1831.0,1768161094,96998254545259134
SDM000024DB4,constant,305380,305380,0,985,86.0,131.0,341.0,477.0,1800.0,1768161097,96998260797713742
SDM000024DB4,constant,327430,327430,0,1066,87.0,137.0,349.0,593.0,2328.0,1768161100,96998267054972280
SDM000024DB4,constant,349656,349656,0,1107,87.0,143.0,356.0,626.0,2404.0,1768161102,96998273313679035
SDM000024DB4,constant,372562,372562,0,1198,88.0,151.0,364.0,632.0,2343.0,1768161105,96998279576317239
SDM000024DB4,constant,393459,393459,0,1312,88.0,160.0,373.0,844.0,2362.0,1768161107,96998285836642632
SDM000024DB4,constant,414827,414827,0,1316,89.0,174.0,387.0,790.0,2270.0,1768161110,96998292103467861
SDM000024DB4,constant,437579,437579,0,1448,89.0,183.0,394.0,1016.0,2542.0,1768161113,96998298371847771
SDM000024DB4,constant,458440,458440,0,1554,90.0,199.0,409.0,1213.0,2546.0,1768161115,96998304637943358
SDM000024DB4,constant,481474,481474,0,1629,91.0,213.0,427.0,1086.0,2392.0,1768161118,96998310907837581
SDM000024DB4,constant,502788,502788,0,1775,91.0,223.0,439.0,1270.0,2478.0,1768161120,96998317178661495
SDM000024DB4,constant,523748,523748,0,1939,92.0,235.0,462.0,1209.0,2567.0,1768161123,96998323449762267
SDM000024DB4,constant,545233,545233,0,1965,93.0,246.0,494.0,1467.0,2525.0,1768161126,96998329725939009
SDM000024DB4,constant,568475,568475,0,2002,94.0,262.0,542.0,1519.0,2532.0,1768161128,96998336005242891
SDM000024DB4,constant,588914,588914,0,2188,96.0,273.0,573.0,1612.0,2594.0,1768161131,96998342281763946
SDM000024DB4,constant,613073,613073,0,2348,97.0,286.0,629.0,1752.0,2612.0,1768161133,96998348564400396
SDM000024DB4,constant,634311,634311,0,2390,98.0,294.0,651.0,1799.0,2623.0,1768161136,96998354849222850
SDM000024DB4,constant,655282,655282,0,2482,100.0,305.0,707.0,1914.0,2672.0,1768161139,96998361135088785
SDM000024DB4,constant,675916,675916,0,2542,102.0,316.0,753.0,1927.0,2668.0,1768161141,96998367421563243
SDM000024DB4,constant,698091,698091,0,2734,104.0,330.0,806.0,2093.0,2777.0,1768161144,96998373709694388
SDM000024DB4,constant,720538,720538,0,2764,106.0,342.0,856.0,2047.0,2733.0,1768161147,96998380003014894
SDM000024DB4,constant,740262,740262,0,3022,109.0,359.0,949.0,2067.0,2806.0,1768161149,96998386295168058
SDM000024DB4,constant,762865,762865,0,3065,112.0,379.0,1036.0,2161.0,2788.0,1768161152,96998392592344596
SDM000024DB4,constant,785950,785950,0,3225,115.0,404.0,1111.0,2241.0,2830.0,1768161154,96998398892098254
SDM000024DB4,constant,809271,809271,0,3510,119.0,436.0,1234.0,2303.0,2889.0,1768161157,96998405197056024
SDM000024DB4,constant,830139,830139,0,3583,124.0,470.0,1282.0,2343.0,2913.0,1768161160,96998411496748962
SDM000024DB4,constant,850706,850706,0,3649,130.0,515.0,1406.0,2414.0,2936.0,1768161162,96998417802554124
SDM000024DB4,constant,872236,872236,0,3896,136.0,562.0,1500.0,2455.0,2962.0,1768161165,96998424111928695
SDM000024DB4,constant,892723,892723,0,4089,145.0,627.0,1630.0,2535.0,2993.0,1768161168,96998430419691099
SDM000024DB4,constant,918498,918498,0,4036,156.0,691.0,1730.0,2609.0,3088.0,1768161170,96998436734678562
SDM000024DB4,constant,937853,937853,0,4235,168.0,769.0,1858.0,2658.0,3153.0,1768161173,96998443051818162
SDM000024DB4,constant,958619,958619,0,4567,185.0,848.0,1961.0,2742.0,3239.0,1768161175,96998449366492494
SDM000024DB4,constant,981352,981352,0,4750,213.0,955.0,2116.0,2881.0,3407.0,1768161178,96998455690207377
SDM000024DB4,constant,1003249,1003249,0,5138,250.0,1061.0,2255.0,2998.0,3587.0,1768161181,96998462011487412
SDM000024DB4,constant,1023073,1023073,0,6180,378.0,1248.0,2449.0,3282.0,3958.0,1768161183,96998468336564538
SDM000024DB4,constant,1042268,1038142,3722,10232,1581.0,3082.0,5512.0,inf,inf,1768161186,96998474667738231
SDM000024DB4,constant,1064133,1038019,23548,11503,1919.0,3364.0,inf,inf,inf,1768161189,96998481012518469
SDM000024DB4,constant,1083706,1037338,41836,12459,2068.0,3579.0,inf,inf,inf,1768161191,96998487353554191
